R_arrest_pct,one_shaft_pct,five_shafts_pct,battery_pct
5.000000000000000000e+01,2.256250000000000000e+01,7.900000000000000000e+01,3.999999999999998224e+00
5.012531328320801549e+01,2.267573696145124629e+01,7.904761904761905100e+01,3.999999999999998224e+00
5.025062656641603098e+01,2.278925736961451065e+01,7.909523809523810201e+01,3.999999999999998224e+00
5.037593984962406068e+01,2.290306122448980375e+01,7.914285714285715301e+01,3.999999999999998224e+00
5.050125313283208328e+01,2.301714852607709361e+01,7.919047619047618980e+01,3.999999999999998224e+00
5.062656641604009877e+01,2.313151927437641220e+01,7.923809523809524080e+01,3.999999999999998224e+00
5.075187969924812847e+01,2.324617346938776308e+01,7.928571428571429180e+01,3.999999999999998224e+00
5.087719298245614397e+01,2.336111111111111427e+01,7.933333333333332860e+01,3.999999999999998224e+00
5.100250626566415946e+01,2.347633219954649064e+01,7.938095238095237960e+01,3.999999999999998224e+00
5.112781954887217495e+01,2.359183673469387088e+01,7.942857142857143060e+01,3.999999999999998224e+00
5.125313283208019755e+01,2.370762471655328341e+01,7.947619047619048160e+01,3.999999999999998224e+00
5.137844611528822014e+01,2.382369614512472111e+01,7.952380952380953261e+01,3.999999999999998224e+00
5.150375939849624274e+01,2.394005102040816624e+01,7.957142857142856940e+01,3.999999999999998224e+00
5.162907268170425823e+01,2.405668934240361878e+01,7.961904761904762040e+01,3.999999999999998224e+00
5.175438596491228793e+01,2.417361111111111427e+01,7.966666666666665719e+01,3.999999999999998224e+00
5.187969924812030342e+01,2.429081632653061362e+01,7.971428571428572241e+01,3.999999999999998224e+00
5.200501253132831891e+01,2.440830498866213105e+01,7.976190476190477341e+01,3.999999999999998224e+00
5.213032581453633441e+01,2.452607709750567011e+01,7.980952380952381020e+01,3.999999999999998224e+00
5.225563909774435700e+01,2.464413265306121659e+01,7.985714285714286120e+01,3.999999999999998224e+00
5.238095238095238670e+01,2.476247165532879890e+01,7.990476190476189799e+01,3.999999999999998224e+00
5.250626566416040220e+01,2.488109410430839219e+01,7.995238095238094900e+01,3.999999999999998224e+00
5.263157894736841769e+01,2.500000000000000000e+01,8.000000000000000000e+01,3.999999999999998224e+00
5.275689223057644739e+01,2.511918934240363654e+01,8.004761904761905100e+01,3.999999999999998224e+00
5.288220551378446288e+01,2.523866213151927340e+01,8.009523809523810201e+01,3.999999999999998224e+00
5.300751879699247837e+01,2.535841836734693544e+01,8.014285714285713880e+01,3.999999999999998224e+00
5.313283208020050097e+01,2.547845804988661911e+01,8.019047619047618980e+01,3.999999999999998224e+00
5.325814536340851646e+01,2.559878117913832085e+01,8.023809523809524080e+01,3.999999999999998224e+00
5.338345864661654616e+01,2.571938775510203712e+01,8.028571428571427759e+01,3.999999999999998224e+00
